[2024-11-18 14:46:39] Page Not Found | Type: 404 | URL: /jomvc/data | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 22:47:45] Internal Server Error: View file not found: views/partials/header.php | Type: 500 | Code:  | URL: /jomvc/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":82,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(47): Controller->findViewFile('partials\/header')\n#1 C:\\wamp64\\www\\jomvc\\views\\layouts\\main.php(29): Controller->renderPartial('partials\/header')\n#2 C:\\wamp64\\www\\jomvc\\core\\Controller.php(112): include('C:\\\\wamp64\\\\www\\\\j...')\n#3 C:\\wamp64\\www\\jomvc\\core\\Controller.php(38): Controller->renderPhpFile('views\/layouts\/m...', Array)\n#4 C:\\wamp64\\www\\jomvc\\controllers\\HomeController.php(13): Controller->render('home\/index', Array)\n#5 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): HomeController->index(NULL)\n#6 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#7 {main}"}
[2024-11-18 22:47:46] Internal Server Error: View file not found: views/partials/header.php | Type: 500 | Code:  | URL: /jomvc/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":82,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(47): Controller->findViewFile('partials\/header')\n#1 C:\\wamp64\\www\\jomvc\\views\\layouts\\main.php(29): Controller->renderPartial('partials\/header')\n#2 C:\\wamp64\\www\\jomvc\\core\\Controller.php(112): include('C:\\\\wamp64\\\\www\\\\j...')\n#3 C:\\wamp64\\www\\jomvc\\core\\Controller.php(38): Controller->renderPhpFile('views\/layouts\/m...', Array)\n#4 C:\\wamp64\\www\\jomvc\\controllers\\HomeController.php(13): Controller->render('home\/index', Array)\n#5 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): HomeController->index(NULL)\n#6 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#7 {main}"}
[2024-11-18 22:48:38] Internal Server Error: View file not found: views/partials/footer.php | Type: 500 | Code:  | URL: /jomvc/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":82,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(47): Controller->findViewFile('partials\/footer')\n#1 C:\\wamp64\\www\\jomvc\\views\\layouts\\main.php(37): Controller->renderPartial('partials\/footer')\n#2 C:\\wamp64\\www\\jomvc\\core\\Controller.php(112): include('C:\\\\wamp64\\\\www\\\\j...')\n#3 C:\\wamp64\\www\\jomvc\\core\\Controller.php(38): Controller->renderPhpFile('views\/layouts\/m...', Array)\n#4 C:\\wamp64\\www\\jomvc\\controllers\\HomeController.php(13): Controller->render('home\/index', Array)\n#5 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): HomeController->index(NULL)\n#6 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#7 {main}"}
[2024-11-18 22:48:59] Internal Server Error: View file not found: views/partials/footer.php | Type: 500 | Code:  | URL: /jomvc/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":82,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(47): Controller->findViewFile('partials\/footer')\n#1 C:\\wamp64\\www\\jomvc\\views\\layouts\\main.php(34): Controller->renderPartial('partials\/footer')\n#2 C:\\wamp64\\www\\jomvc\\core\\Controller.php(112): include('C:\\\\wamp64\\\\www\\\\j...')\n#3 C:\\wamp64\\www\\jomvc\\core\\Controller.php(38): Controller->renderPhpFile('views\/layouts\/m...', Array)\n#4 C:\\wamp64\\www\\jomvc\\controllers\\HomeController.php(13): Controller->render('home\/index', Array)\n#5 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): HomeController->index(NULL)\n#6 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#7 {main}"}
[2024-11-18 22:55:09] Page Not Found: Controller not found: LoginController | Type: 404 | Code:  | URL: /jomvc/login | IP: ::1 | Details: null
[2024-11-19 08:34:14] Forbidden: Call to private Database::__construct() from scope HomeController | Type: 403 | Code:  | URL: /jomvc/ | IP: ::1 | Details: null
[2024-11-19 08:34:38] Forbidden: Call to private Database::__construct() from scope HomeController | Type: 403 | Code:  | URL: /jomvc/ | IP: ::1 | Details: null
[2024-11-19 13:58:44] Internal Server Error: ເກີດຂໍ້ຜິດພາດໃນການ Query ຖານຂໍ້ມູນ | Type: 500 | Code: 42S02 | URL: /jomvc/ | IP: ::1 | Details: {"error_type":"query_error","sql_state":"42S02","driver_code":1146,"driver_message":"Table 'computer_room_management.computer_rooms1' doesn't exist","context":{"sql":"SELECT * FROM computer_rooms1","params":[]},"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(80): PDO->prepare('SELECT * FROM c...')\n#1 C:\\wamp64\\www\\jomvc\\controllers\\HomeController.php(13): Database->query('SELECT * FROM c...')\n#2 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): HomeController->index(NULL)\n#3 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#4 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":80}
[2024-11-19 14:01:02] Forbidden: Non-static method Model::all() cannot be called statically | Type: 403 | Code:  | URL: /jomvc/ | IP: ::1 | Details: null
[2024-11-19 19:50:46] Internal Server Error: ເກີດຂໍ້ຜິດພາດໃນການ Query ຖານຂໍ້ມູນ | Type: 500 | Code: 42S22 | URL: /jomvc/auth/login | IP: ::1 | Details: {"error_type":"query_error","sql_state":"42S22","driver_code":1054,"driver_message":"Unknown column 'username' in 'where clause'","context":{"sql":"SELECT * FROM users WHERE username = ? AND password = ?","params":["Boss","123"]},"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(80): PDO->prepare('SELECT * FROM u...')\n#1 C:\\wamp64\\www\\jomvc\\core\\Model.php(74): Database->query('SELECT * FROM u...', Array)\n#2 C:\\wamp64\\www\\jomvc\\models\\UserModel.php(19): Model->findOne(Array)\n#3 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(14): UserModel->login('Boss', '123')\n#4 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->login(NULL)\n#5 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#6 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":80}
[2024-11-19 19:51:22] Internal Server Error: ເກີດຂໍ້ຜິດພາດໃນການ Query ຖານຂໍ້ມູນ | Type: 500 | Code: 42S22 | URL: /jomvc/auth/login | IP: ::1 | Details: {"error_type":"query_error","sql_state":"42S22","driver_code":1054,"driver_message":"Unknown column 'username' in 'where clause'","context":{"sql":"SELECT * FROM users WHERE username = ?","params":["Boss"]},"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(80): PDO->prepare('SELECT * FROM u...')\n#1 C:\\wamp64\\www\\jomvc\\core\\Model.php(74): Database->query('SELECT * FROM u...', Array)\n#2 C:\\wamp64\\www\\jomvc\\models\\UserModel.php(19): Model->findOne(Array)\n#3 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(14): UserModel->login('Boss', '123')\n#4 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->login(NULL)\n#5 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#6 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":80}
[2024-11-19 20:35:38] Internal Server Error: ເກີດຂໍ້ຜິດພາດໃນການ Query ຖານຂໍ້ມູນ | Type: 500 | Code: 42S22 | URL: /jomvc/auth/login | IP: ::1 | Details: {"error_type":"query_error","sql_state":"42S22","driver_code":1054,"driver_message":"Unknown column 'username' in 'where clause'","context":{"sql":"SELECT * FROM users WHERE username = ?","params":["Boss"]},"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(80): PDO->prepare('SELECT * FROM u...')\n#1 C:\\wamp64\\www\\jomvc\\core\\Model.php(74): Database->query('SELECT * FROM u...', Array)\n#2 C:\\wamp64\\www\\jomvc\\models\\UserModel.php(19): Model->findOne(Array)\n#3 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(14): UserModel->login('Boss', '123')\n#4 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->login(NULL)\n#5 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#6 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":80}
[2024-11-19 20:37:34] Internal Server Error: ເກີດຂໍ້ຜິດພາດໃນການ Query ຖານຂໍ້ມູນ | Type: 500 | Code: 42S22 | URL: /jomvc/auth/login | IP: ::1 | Details: {"error_type":"query_error","sql_state":"42S22","driver_code":1054,"driver_message":"Unknown column 'username' in 'where clause'","context":{"sql":"SELECT * FROM users WHERE username = ?","params":["Boss"]},"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(80): PDO->prepare('SELECT * FROM u...')\n#1 C:\\wamp64\\www\\jomvc\\core\\Model.php(74): Database->query('SELECT * FROM u...', Array)\n#2 C:\\wamp64\\www\\jomvc\\models\\UserModel.php(19): Model->findOne(Array)\n#3 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(14): UserModel->login('Boss', '123')\n#4 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->login(NULL)\n#5 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#6 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":80}
[2024-11-19 20:44:29] Internal Server Error: ເກີດຂໍ້ຜິດພາດໃນການ Query ຖານຂໍ້ມູນ | Type: 500 | Code: 42S02 | URL: /jomvc/ | IP: ::1 | Details: {"error_type":"query_error","sql_state":"42S02","driver_code":1146,"driver_message":"Table 'db_library.computer_rooms' doesn't exist","context":{"sql":"SELECT * FROM computer_rooms","params":[]},"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(80): PDO->prepare('SELECT * FROM c...')\n#1 C:\\wamp64\\www\\jomvc\\controllers\\HomeController.php(13): Database->query('SELECT * FROM c...')\n#2 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): HomeController->index(NULL)\n#3 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#4 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":80}
[2024-11-19 20:54:07] Internal Server Error: Invalid CSRF token | Type: 500 | Code:  | URL: /jomvc/auth/login | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":180,"trace":"#0 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(12): Controller->isCsrfToken()\n#1 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->login(NULL)\n#2 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#3 {main}"}
[2024-11-19 20:54:56] Internal Server Error: ເກີດຂໍ້ຜິດພາດໃນການ Query ຖານຂໍ້ມູນ | Type: 500 | Code: 42S22 | URL: /jomvc/auth/login | IP: ::1 | Details: {"error_type":"query_error","sql_state":"42S22","driver_code":1054,"driver_message":"Unknown column 'a' in 'where clause'","context":{"sql":"SELECT * FROM users WHERE a","params":[]},"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(80): PDO->prepare('SELECT * FROM u...')\n#1 C:\\wamp64\\www\\jomvc\\core\\Model.php(79): Database->query('SELECT * FROM u...')\n#2 C:\\wamp64\\www\\jomvc\\models\\UserModel.php(19): Model->where('a', 's')\n#3 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(14): UserModel->login('a', 's')\n#4 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->login(NULL)\n#5 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#6 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":80}
[2024-11-19 21:41:19] Forbidden: Call to undefined method HomeController::url() | Type: 403 | Code:  | URL: /jomvc/home | IP: ::1 | Details: null
[2024-11-19 22:13:55] Page Not Found: Controller not found: Main.cssController | Type: 404 | Code:  | URL: /jomvc/main.css | IP: ::1 | Details: null
[2024-11-19 22:13:57] Page Not Found: Controller not found: Main.cssController | Type: 404 | Code:  | URL: /jomvc/main.css | IP: ::1 | Details: null
[2024-11-19 22:14:14] Page Not Found: Controller not found: Main.cssController | Type: 404 | Code:  | URL: /jomvc/main.css | IP: ::1 | Details: null
[2024-11-19 22:16:00] Page Not Found: Controller not found: Main.cssController | Type: 404 | Code:  | URL: /jomvc/main.css | IP: ::1 | Details: null
[2024-11-19 22:16:11] Page Not Found: Controller not found: Main.cssController | Type: 404 | Code:  | URL: /jomvc/main.css | IP: ::1 | Details: null
[2024-11-19 22:16:17] Page Not Found: Controller not found: Main.cssController | Type: 404 | Code:  | URL: /jomvc/main.css | IP: ::1 | Details: null
[2024-11-20 09:33:18] Forbidden: Class "Table" not found | Type: 403 | Code:  | URL: /jomvc/home | IP: ::1 | Details: null
[2024-11-20 09:33:21] Forbidden: Class "Table" not found | Type: 403 | Code:  | URL: /jomvc/home | IP: ::1 | Details: null
[2024-11-20 10:21:49] Page Not Found: Controller not found: Home?page=employeeController | Type: 404 | Code:  | URL: /jomvc/home?page=employee/view&id=1 | IP: ::1 | Details: null
[2024-11-20 10:22:40] Page Not Found: Controller not found: EmployeeController | Type: 404 | Code:  | URL: /jomvc/employee/view&id=1 | IP: ::1 | Details: null
[2024-11-20 10:24:35] Page Not Found: Controller not found: EmployeeController | Type: 404 | Code:  | URL: /jomvc/employee/view/1 | IP: ::1 | Details: null
[2024-11-20 14:28:01] Page Not Found: Controller not found: LibraryController | Type: 404 | Code:  | URL: /library/ | IP: ::1 | Details: null
